Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,+/-
Jimmy Butler,558,1,5,0.2,0,2,0.0,0,0,,1,0,1,1,0,1,0,0,2,-3
Jimmy Butler,1099,3,9,0.333,0,2,0.0,2,2,1.0,1,3,4,2,1,1,0,0,8,1
Jimmy Butler,506,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,4
Jimmy Butler,593,3,4,0.75,0,0,,3,3,1.0,0,1,1,0,1,0,0,0,9,-2
Jimmy Butler,1099,3,5,0.6,0,0,,3,3,1.0,0,1,1,0,1,0,0,1,9,2
Derrick Rose,459,1,6,0.167,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,2,1
Derrick Rose,514,2,6,0.333,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-2
Derrick Rose,973,3,12,0.25,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,6,-1
Derrick Rose,382,3,5,0.6,0,1,0.0,1,2,0.5,0,1,1,3,0,0,2,0,7,2
Derrick Rose,593,2,5,0.4,0,0,,1,2,0.5,0,0,0,1,0,0,0,0,5,-2
Derrick Rose,975,5,10,0.5,0,1,0.0,2,4,0.5,0,1,1,4,0,0,2,0,12,0
Pau Gasol,380,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-3
Pau Gasol,609,0,1,0.0,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-3
Pau Gasol,989,0,2,0.0,0,0,,0,0,,0,1,1,0,0,2,0,0,0,-6
Pau Gasol,506,1,3,0.333,0,0,,0,0,,0,0,0,0,1,0,0,1,2,4
Pau Gasol,398,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,4,0,0,0,-6
Pau Gasol,904,1,5,0.2,0,1,0.0,0,0,,0,1,1,0,1,4,0,1,2,-2
Tony Snell,449,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Tony Snell,386,2,4,0.5,1,3,0.333,0,0,,0,1,1,0,0,0,1,2,5,-4
Tony Snell,835,2,5,0.4,1,3,0.333,0,0,,0,1,1,0,0,0,1,2,5,-4
Tony Snell,446,2,4,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,0,0,5,4
Tony Snell,447,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,2,1,-1
Tony Snell,893,2,4,0.5,1,2,0.5,1,2,0.5,0,1,1,0,0,0,0,2,6,3
Nikola Mirotić,557,4,7,0.571,2,2,1.0,1,1,1.0,1,1,2,1,0,0,1,1,11,6
Nikola Mirotić,137,0,0,,0,0,,0,0,,0,0,0,0,0,0,3,2,0,0
Nikola Mirotić,694,4,7,0.571,2,2,1.0,1,1,1.0,1,1,2,1,0,0,4,3,11,6
Nikola Mirotić,382,1,1,1.0,1,1,1.0,0,0,,0,3,3,0,1,0,0,1,3,2
Nikola Mirotić,438,1,3,0.333,0,1,0.0,3,3,1.0,1,3,4,0,0,0,0,1,5,1
Nikola Mirotić,820,2,4,0.5,1,2,0.5,3,3,1.0,1,6,7,0,1,0,0,2,8,3
Taj Gibson,229,0,1,0.0,0,0,,3,4,0.75,1,0,1,0,0,1,0,0,3,7
Taj Gibson,342,0,1,0.0,0,0,,0,0,,1,5,6,0,0,1,1,2,0,0
Taj Gibson,571,0,2,0.0,0,0,,3,4,0.75,2,5,7,0,0,2,1,2,3,7
Taj Gibson,338,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-5
