Home Team,Term,Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Q1,Brandon Jennings,539,2,5,0.4,1,3,0.333,0,0,,0,0,0,4,1,0,1,0,5,4
0,Q2,Brandon Jennings,458,5,8,0.625,2,2,1.0,0,0,,1,0,1,0,0,0,0,0,12,3
0,H1,Brandon Jennings,997,7,13,0.538,3,5,0.6,0,0,,1,0,1,4,1,0,1,0,17,7
0,Q3,Brandon Jennings,720,5,9,0.556,1,5,0.2,0,0,,0,0,0,0,1,0,1,1,11,8
0,Q4,Brandon Jennings,426,3,4,0.75,2,2,1.0,0,0,,1,0,1,1,0,0,1,2,8,2
0,H2,Brandon Jennings,1146,8,13,0.615,3,7,0.429,0,0,,1,0,1,1,1,0,2,3,19,10
0,Q1,Shaun Livingston,570,3,3,1.0,0,0,,0,0,,1,1,2,0,0,0,0,0,6,6
0,Q2,Shaun Livingston,341,1,1,1.0,0,0,,2,2,1.0,0,1,1,1,0,0,0,1,4,5
0,H1,Shaun Livingston,911,4,4,1.0,0,0,,2,2,1.0,1,2,3,1,0,0,0,1,10,11
0,Q3,Shaun Livingston,608,2,4,0.5,0,0,,0,0,,0,0,0,2,0,0,0,0,4,9
0,Q4,Shaun Livingston,506,1,2,0.5,0,0,,2,2,1.0,1,1,2,0,1,0,1,0,4,2
0,H2,Shaun Livingston,1114,3,6,0.5,0,0,,2,2,1.0,1,1,2,2,1,0,1,0,8,11
0,Q1,Andrew Bogut,720,4,5,0.8,0,0,,0,0,,0,1,1,0,0,1,1,1,8,4
0,Q2,Andrew Bogut,213,0,1,0.0,0,0,,0,0,,0,1,1,1,1,0,2,1,0,-4
0,H1,Andrew Bogut,933,4,6,0.667,0,0,,0,0,,0,2,2,1,1,1,3,2,8,0
0,Q3,Andrew Bogut,608,1,3,0.333,0,0,,1,2,0.5,0,2,2,0,1,0,0,0,3,9
0,Q4,Andrew Bogut,426,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,3,0,2
0,H2,Andrew Bogut,1034,1,3,0.333,0,0,,1,2,0.5,0,3,3,1,1,0,1,3,3,11
0,Q1,Carlos Delfino,539,2,3,0.667,0,1,0.0,0,0,,0,0,0,1,0,0,1,1,4,4
0,Q2,Carlos Delfino,157,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-2
0,H1,Carlos Delfino,696,2,4,0.5,0,2,0.0,0,0,,0,0,0,1,0,0,1,2,4,2
0,Q3,Carlos Delfino,490,1,1,1.0,0,0,,0,0,,1,0,1,1,0,0,0,2,2,8
0,Q4,Carlos Delfino,537,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,1,0,1,2,3,-2
0,H2,Carlos Delfino,1027,2,3,0.667,1,2,0.5,0,0,,1,0,1,1,1,0,1,4,5,6
0,Q1,Jon Leuer,260,0,0,,0,0,,0,0,,0,3,3,1,0,0,0,1,0,5
0,Q2,Jon Leuer,78,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,H1,Jon Leuer,338,0,0,,0,0,,0,0,,0,3,3,1,0,0,0,1,0,5
0,Q3,Jon Leuer,
0,Q4,Jon Leuer,80,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
