Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,+/-
Stephen Curry,966,3,8,0.375,1,2,0.5,4,4,1.0,1,2,3,1,1,0,0,1,11,-3
Harrison Barnes,669,0,6,0.0,0,2,0.0,1,2,0.5,2,2,4,1,0,0,0,0,1,5
Harrison Barnes,451,1,2,0.5,0,0,,0,0,,2,2,4,0,0,0,0,0,2,11
Harrison Barnes,1120,1,8,0.125,0,2,0.0,1,2,0.5,4,4,8,1,0,0,0,0,3,16
Harrison Barnes,495,2,3,0.667,1,2,0.5,0,0,,0,0,0,1,0,0,1,2,5,3
Harrison Barnes,346,0,1,0.0,0,1,0.0,0,0,,1,0,1,1,1,0,0,1,0,-2
Harrison Barnes,841,2,4,0.5,1,3,0.333,0,0,,1,0,1,2,1,0,1,3,5,1
Draymond Green,567,2,2,1.0,1,1,1.0,0,0,,0,1,1,2,0,0,0,2,5,9
Draymond Green,241,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,1,1,3,12
Draymond Green,808,3,4,0.75,2,3,0.667,0,0,,0,1,1,2,0,0,1,3,8,21
Draymond Green,517,0,3,0.0,0,1,0.0,2,2,1.0,0,3,3,0,0,0,0,0,2,7
Draymond Green,441,0,5,0.0,0,1,0.0,0,0,,3,1,4,0,1,0,0,2,0,-8
Draymond Green,958,0,8,0.0,0,2,0.0,2,2,1.0,3,4,7,0,1,0,0,2,2,-1
Klay Thompson,497,1,3,0.333,0,1,0.0,0,0,,0,0,0,1,1,0,0,1,2,11
Klay Thompson,191,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,2,2,2,-3
Klay Thompson,688,2,4,0.5,0,1,0.0,0,0,,0,1,1,1,1,0,2,3,4,8
Klay Thompson,486,1,1,1.0,0,0,,3,3,1.0,0,3,3,2,0,1,3,1,5,4
Klay Thompson,417,0,3,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,2,1,0,-8
Klay Thompson,903,1,4,0.25,0,1,0.0,3,3,1.0,0,3,3,2,0,1,5,2,5,-4
Andrew Bogut,426,2,2,1.0,0,0,,0,0,,1,1,2,1,0,1,0,0,4,7
Andrew Bogut,403,3,3,1.0,0,0,,0,0,,0,2,2,1,0,0,0,1,6,9
Andrew Bogut,829,5,5,1.0,0,0,,0,0,,1,3,4,2,0,1,0,1,10,16
Andrew Bogut,293,1,1,1.0,0,0,,0,0,,0,1,1,3,0,1,0,1,2,1
Andrew Bogut,
Andrew Bogut,293,1,1,1.0,0,0,,0,0,,0,1,1,3,0,1,0,1,2,1
Andre Iguodala,294,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,1,0,-3
Andre Iguodala,479,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-6
Andre Iguodala,773,0,2,0.0,0,1,0.0,0,0,,1,2,3,1,0,0,0,1,0,-9
Andre Iguodala,428,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,1,0,8
Andre Iguodala,203,1,1,1.0,0,0,,0,0,,0,1,1,0,1,0,0,0,2,2
Andre Iguodala,631,1,1,1.0,0,0,,0,0,,0,2,2,2,1,0,1,1,2,10
Shaun Livingston,
Shaun Livingston,556,0,0,,0,0,,0,0,,0,4,4,0,0,1,0,0,0,7
Shaun Livingston,556,0,0,,0,0,,0,0,,0,4,4,0,0,1,0,0,0,7
Shaun Livingston,171,2,3,0.667,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,4,4
Shaun Livingston,553,1,3,0.333,0,1,0.0,0,0,,0,0,0,2,0,0,0,1,2,1
Shaun Livingston,724,3,6,0.5,0,2,0.0,0,0,,0,0,0,2,0,0,0,1,6,5
Leandro Barbosa,223,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,0,0,-7
Leandro Barbosa,470,0,3,0.0,0,1,0.0,0,0,,0,2,2,0,0,1,2,1,0,-6
Leandro Barbosa,693,0,3,0.0,0,1,0.0,0,0,,1,3,4,1,0,1,3,1,0,-13
Leandro Barbosa,234,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,2,0,5
